Unnamed: 0,ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,TYPE_CHANGE,CROP_current,CROP_type,current_land_use*,LUC_this_study,previous_land_use*,NUM_DEPTH,N_measured_current.1,temperature_Celsiul,precipitation_mm,Latitud,Longitud,years_since_luc,year_measure,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_Mg_ha_previous,SOC_change,SOC_percentage_change,csp_change,luc_rank
0,1,1,1,Brazil,SaoPaulo,Tropical,Sandstone,Ferralsols,LUC,Sugarcane,grass,bioenergy,YES,perennial_food,4,20,21.0,1500.0,-21.350000000000005,-47.066,3.0,2013.0,10.0,30.0,20.0,1.3966666666666667,15.5,2.733333333333333,81.8,,21.386666666666667,,10.0,30.0,20.0,1.4500000000000002,21.9,9.333333333333334,68.76666666666667,,29.44666666666667,8.060000000000002,-27.37151913063165,0.0,3.0
1,5,1,2,Brazil,SaoPaulo,Tropical,Sandstone,Luvisol,LUC,Sugarcane,grass,bioenergy,YES,perennial_food,4,20,21.0,1500.0,-21.350000000000005,-47.066,4.0,2013.0,10.0,30.0,20.0,1.28,41.8,10.533333333333331,47.66666666666666,,24.546666666666667,,10.0,30.0,20.0,1.2466666666666668,46.8,10.4,42.76666666666667,,32.830000000000005,8.283333333333339,-25.23098791755509,0.0,3.0
2,9,1,3,Brazil,SaoPaulo,Tropical,Granite,Ferralsols,LUC,Sugarcane,grass,bioenergy,YES,annual_crop,4,20,21.0,1500.0,-21.350000000000005,-47.066,7.0,2013.0,10.0,30.0,20.0,1.336666666666667,29.6,5.3,65.10000000000001,,30.906666666666663,,10.0,30.0,20.0,1.4166666666666667,30.366666666666664,8.0,62.56666666666666,,31.37,0.4633333333333347,-1.4769950058442292,1.0,4.0
3,13,1,4,Brazil,SaoPaulo,Tropical,Sandstone,Luvisol,LUC,Sugarcane,grass,bioenergy,YES,grassland,4,20,21.0,1500.0,-21.350000000000005,-47.066,8.0,2013.0,10.0,30.0,20.0,1.4,13.033333333333331,8.333333333333334,78.63333333333333,,19.96,,10.0,30.0,20.0,1.3966666666666667,11.5,6.866666666666667,81.63333333333333,,25.27,5.310000000000002,-21.01305896319748,-1.0,2.0
4,26,4,8,New_Zeland,Bay_of_Plenty,Temperate,Volcanic,Mollic_Andosol,LUC,Kiwi,woody,food,YES,grassland,11,3,14.5,138.0,-37.61599999999999,175.91599999999997,17.0,2011.0,3.345454545454545,4.163636363636363,3.7545454545454544,1.0909090909090908,,,,6.0,90.8818181818182,,3.345454545454545,4.163636363636363,3.7545454545454544,1.2036363636363636,,,,5.72,90.87272727272726,-0.0090909090909292,0.0100040016006624,-1.0,2.0
5,61,6,15,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,5,3,9.1,714.0,48.75,8.92,11.0,2013.0,10.0,20.0,15.0,1.43,22.8,74.8,2.4,7.38,14.166666666666666,0.4333333333333333,10.0,20.0,15.0,1.55,22.8,74.8,2.4,7.38,13.366666666666667,-0.7999999999999989,5.985037406483782,1.0,4.0
6,62,6,16,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,LUC,Switchgrass,grass,bioenergy,YES,annual_crop,5,3,9.1,714.0,48.75,8.92,11.0,2013.0,10.0,20.0,15.0,1.3866666666666667,22.8,74.8,2.4,7.38,14.133333333333333,0.5,10.0,20.0,15.0,1.55,22.8,74.8,2.4,7.38,13.366666666666667,-0.7666666666666657,5.735660847880292,1.0,4.0
7,63,6,17,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,LUC,Willow,woody,SRC,YES,annual_crop,5,3,9.1,714.0,48.75,8.92,11.0,2013.0,10.0,20.0,15.0,1.356666666666667,22.8,74.8,2.4,7.38,15.133333333333333,0.5,10.0,20.0,15.0,1.55,22.8,74.8,2.4,7.38,13.366666666666667,-1.7666666666666655,13.21695760598503,2.0,5.0
8,76,6,18,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,5,3,9.1,714.0,48.75,8.92,11.0,2013.0,10.0,20.0,15.0,1.43,22.8,74.8,2.4,7.38,16.166666666666668,0.5,10.0,20.0,15.0,1.55,22.8,74.8,2.4,7.38,14.1,-2.066666666666668,14.657210401891264,1.0,4.0
9,77,6,19,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,LUC,Switchgrass,grass,bioenergy,YES,annual_crop,5,3,9.1,714.0,48.75,8.92,11.0,2013.0,10.0,20.0,15.0,1.3866666666666667,22.8,74.8,2.4,7.38,14.3,0.5,10.0,20.0,15.0,1.55,22.8,74.8,2.4,7.38,14.1,-0.1999999999999993,1.4184397163120517,1.0,4.0
