ID,,,SITE,,,,,,,,,,TYPE_CHANGE,CROP AND LAND USE ,,,,,,,,,,,SOIL MANAGEMENT INFO,,,,,,,,,,DATA,,,,CURRENT SOC AND SOIL CHARACTERISTICS,,,,,,,,,,,,,,,,PREVIOUS SOC AND SOIL CHARACTERISTICS,,,,,,,,,,,,,,,SOURCE,
ID,IDstudy,plotID,country,region,temperature_Celsiul,precipitation_mm,climate,Latitud,Longitud,bedrock,soil_type,USDA,TYPE_CHANGE,CROP_current,CROP_type,cropAGE,current_land_use*,LUC_this_study,previous_land_use*,years_since_luc,TEMPORAL_only_this study,timeTEMPORAL,CHANGE_management,year_since_MANAGEMENT_CHANGE,soil_treatments,tillageYESNO,tillage_type,fertilizerYESNO,fet_type,rate_fertilizer_kh_ha,pesticides,org_amendYESNO,org_amend_type,prev_man,SINGLE_DATA-MULTIPLE_SINGLEAMPLING,DIF_DEPTH_current_point,CONTI_DEPTH,NUM_DEPTH,year_measure,N_plots_current,N_sample_per_plot_current,N_measured_current,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_g_kg_current,sd_SOC_gkg_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,N_plots_previous,N_sample_per_plot_previous,N_measured_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_g_kg_previous,sd_SOC_gkg_previous,SOC_Mg_ha_previous,sd_SOC_Mgha_previous,yearPpub,Original_source
1,1,1,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Ferralsols,Oxisols,LUC,Sugarcane,grass,3,bioenergy,YES,perennial_food,3,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,0,10,5,1.3,13.7,5.1,81.2,NA,NA,NA,20.7,NA,20,1,20,0,10,5,1.36,19.2,10.4,70.5,NA,NA,NA,17.39,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
2,1,1,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Ferralsols,Oxisols,LUC,Sugarcane,grass,3,bioenergy,YES,perennial_food,3,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,10,20,15,1.34,14.8,1.1,84.2,NA,NA,NA,12.54,NA,20,1,20,10,20,15,1.58,21.7,8.9,69.3,NA,NA,NA,15.57,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
3,1,1,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Ferralsols,Oxisols,LUC,Sugarcane,grass,3,bioenergy,YES,perennial_food,3,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,20,60,40,1.55,18,2,80,NA,NA,NA,30.92,NA,20,1,20,20,60,40,1.41,24.8,8.7,66.5,NA,NA,NA,55.38,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
4,1,1,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Ferralsols,Oxisols,LUC,Sugarcane,grass,3,bioenergy,YES,perennial_food,3,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,60,100,80,1.46,18.8,3.5,77.7,NA,NA,NA,36.23,NA,20,1,20,60,100,80,1.31,24.8,9.2,66,NA,NA,NA,36.1,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
5,1,2,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,grass,4,bioenergy,YES,perennial_food,4,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,0,10,5,1.2,38.1,10.9,51,NA,NA,NA,16.43,NA,20,1,20,0,10,5,1.27,42.9,11.4,45.7,NA,NA,NA,16.28,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
6,1,2,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,grass,4,bioenergy,YES,perennial_food,4,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,10,20,15,1.32,45.1,10.2,44.7,NA,NA,NA,14.51,NA,20,1,20,10,20,15,1.3,48.1,10.4,41.4,NA,NA,NA,18.26,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
7,1,2,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,grass,4,bioenergy,YES,perennial_food,4,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,20,60,40,1.32,42.2,10.5,47.3,NA,NA,NA,42.7,NA,20,1,20,20,60,40,1.17,49.4,9.4,41.2,NA,NA,NA,63.95,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
8,1,2,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Sandstone,Luvisol,Ultisol,LUC,Sugarcane,grass,4,bioenergy,YES,perennial_food,4,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,60,100,80,1.01,45.9,11.07,42.4,NA,NA,NA,39.42,NA,20,1,20,60,100,80,1.24,52.4,12.2,35.4,NA,NA,NA,49.2,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
9,1,3,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Granite,Ferralsols,Oxisols,LUC,Sugarcane,grass,7,bioenergy,YES,annual_crop,7,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,0,10,5,1.24,30.8,5.1,64.1,NA,NA,NA,14.6,NA,20,1,20,0,10,5,1.3,28.7,9.6,64.5,NA,NA,NA,13.59,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
10,1,3,Brazil,SaoPaulo,21,1500,Tropical,-21.35,-47.066,Granite,Ferralsols,Oxisols,LUC,Sugarcane,grass,7,bioenergy,YES,annual_crop,7,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,4,2013,20,1,20,10,20,15,1.32,26.7,5.4,67.9,NA,NA,NA,15.96,NA,20,1,20,10,20,15,1.44,30.3,7.4,62.3,NA,NA,NA,15.33,NA,2017,"de Oliveira Bordonal, Ricardo, et al., 2017 Changes in quantity and quality of soil carbon due to the land-use conversion to sugarcane (Saccharum officinarum) plantation in southern Brazil. Agriculture, Ecosystems & Environment, 240, pp. 54-65."
