IDstudy,plotID,land_use_change_rank2
1,3,4
1,3,4
1,3,4
1,3,4
1,4,2
1,4,2
1,4,2
1,4,2
2,5,5
2,6,5
2,5,1
2,6,1
3,7,4
3,7,4
3,7,4
3,7,4
4,8,2
4,8,2
4,8,2
4,8,2
4,8,2
4,8,2
4,8,2
4,8,2
4,8,2
4,8,2
4,8,2
5,9,5
5,9,5
5,9,5
5,9,5
5,10,5
5,10,5
5,10,5
5,10,5
5,11,5
5,11,5
5,11,5
5,11,5
5,12,5
5,12,4
5,12,4
5,12,4
5,13,4
5,13,4
5,13,4
5,13,4
5,14,4
5,14,4
5,14,4
5,14,4
6,15,4
6,16,4
6,17,5
6,15,4
6,16,4
6,17,5
6,15,4
6,16,4
6,17,5
6,15,4
6,16,4
6,17,5
6,15,4
6,16,4
6,17,5
6,18,4
6,19,4
6,20,5
6,18,4
6,19,4
6,20,5
6,18,4
6,19,4
6,20,5
6,18,4
6,19,4
6,20,5
6,18,4
6,19,4
6,20,5
6,21,4
6,22,4
6,23,5
6,21,4
6,22,4
6,23,5
6,21,4
6,22,4
6,23,5
6,21,4
6,22,4
6,23,5
6,21,4
6,22,4
6,23,5
7,24,1
7,24,1
7,24,1
7,24,1
7,24,1
7,24,1
10,34,4
10,35,1
11,36,1
11,36,1
11,37,1
11,37,1
12,38,4
12,39,4
12,40,4
12,41,4
12,41,4
12,41,4
12,41,4
13,42,4
13,43,4
14,44,2
14,45,2
14,46,1
15,47,5
15,47,5
15,47,5
15,47,5
15,47,5
15,47,5
15,47,5
15,47,5
15,47,5
15,48,5
15,48,5
15,48,5
15,48,5
15,48,5
15,48,5
15,48,5
15,48,5
15,48,5
16,49,4
16,49,4
16,49,4
16,49,4
16,49,4
16,49,4
16,50,1
16,50,1
16,50,1
16,50,1
16,50,1
16,50,1
17,51,1
17,51,1
17,51,1
17,52,1
17,52,1
17,52,1
17,53,1
17,53,1
17,53,1
17,54,1
17,54,1
17,54,1
17,55,1
17,55,1
17,55,1
17,56,1
17,56,1
17,56,1
18,57,2
18,57,2
18,57,2
18,58,2
18,58,4
18,58,4
18,59,4
18,59,2
18,59,2
18,60,2
18,60,4
18,60,4
19,61,4
19,61,4
19,61,4
19,61,4
19,61,4
19,61,4
19,62,4
19,62,4
19,62,4
19,62,4
19,62,4
19,62,4
19,63,4
