ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,temperature,precipitation_mm,Latitud,Longitud,year_measure,TYPE_CHANGE,years_since_luc,CROP_current,CROP_type,land_use,N_measured,soil_from_cm,soil_to_cm,depth_midpoint,bulk_density_Mg_m3,%clay,%silt,%sand,ph,SOC_Mg_ha,Period,delta_SOC_Mgha,%delta_SOC,csp_rank,csp_change,luc_rank
1,1,1,Brazil,SaoPaulo,Tropical,Sandstone,Ferralsols,21.0,1500.0,-21.350000000000005,-47.066,2013.0,LUC,3.0,Sugarcane,grass,perennial_grass,20.0,10.0,30.0,20.0,1.3966666666666667,15.5,2.733333333333333,81.8,,21.386666666666667,1,-8.060000000000002,-27.371519130631654,2.0,0.0,3.0
5,1,2,Brazil,SaoPaulo,Tropical,Sandstone,Luvisol,21.0,1500.0,-21.350000000000005,-47.066,2013.0,LUC,4.0,Sugarcane,grass,perennial_grass,20.0,10.0,30.0,20.0,1.28,41.8,10.533333333333331,47.66666666666666,,24.546666666666667,1,-8.283333333333339,-25.23098791755509,2.0,0.0,3.0
9,1,3,Brazil,SaoPaulo,Tropical,Granite,Ferralsols,21.0,1500.0,-21.350000000000005,-47.066,2013.0,LUC,7.0,Sugarcane,grass,perennial_grass,20.0,10.0,30.0,20.0,1.336666666666667,29.6,5.3,65.10000000000001,,30.906666666666663,1,-0.46333333333333826,-1.4769950058442405,2.0,1.0,4.0
13,1,4,Brazil,SaoPaulo,Tropical,Sandstone,Luvisol,21.0,1500.0,-21.350000000000005,-47.066,2013.0,LUC,8.0,Sugarcane,grass,perennial_grass,20.0,10.0,30.0,20.0,1.4,13.033333333333331,8.333333333333334,78.63333333333333,,19.96,1,-5.309999999999999,-21.013058963197462,2.0,-1.0,2.0
26,4,8,New_Zeland,Bay_of_Plenty,Temperate,Volcanic,Mollic_Andosol,14.5,138.0,-37.61599999999999,175.91599999999997,2011.0,LUC,17.0,Kiwi,woody,perennial_woody,3.0,3.345454545454545,4.163636363636363,3.7545454545454544,1.0909090909090908,,,,6.0,90.8818181818182,1,0.009090909090943455,0.010004001600678073,2.0,-1.0,2.0
61,6,15,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,9.1,714.0,48.75,8.92,2013.0,LUC,11.0,Miscanthus,grass,perennial_grass,3.0,10.0,20.0,15.0,1.43,22.8,74.8,2.4,7.38,14.166666666666666,1,0.7999999999999989,5.985037406483782,2.0,1.0,4.0
62,6,16,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,9.1,714.0,48.75,8.92,2013.0,LUC,11.0,Switchgrass,grass,perennial_grass,3.0,10.0,20.0,15.0,1.3866666666666667,22.8,74.8,2.4,7.38,14.133333333333333,1,0.7666666666666657,5.7356608478802915,2.0,1.0,4.0
63,6,17,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,9.1,714.0,48.75,8.92,2013.0,LUC,11.0,Willow,woody,SRC,3.0,10.0,20.0,15.0,1.356666666666667,22.8,74.8,2.4,7.38,15.133333333333333,1,1.7666666666666657,13.21695760598503,3.0,2.0,5.0
76,6,18,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,9.1,714.0,48.75,8.92,2013.0,LUC,11.0,Miscanthus,grass,perennial_grass,3.0,10.0,20.0,15.0,1.43,22.8,74.8,2.4,7.38,16.166666666666668,1,2.066666666666668,14.657210401891263,2.0,1.0,4.0
77,6,19,Germany,Ihinger_Hof,Temperate,,Haplic_Luvisol,9.1,714.0,48.75,8.92,2013.0,LUC,11.0,Switchgrass,grass,perennial_grass,3.0,10.0,20.0,15.0,1.3866666666666667,22.8,74.8,2.4,7.38,14.3,1,0.20000000000000107,1.4184397163120643,2.0,1.0,4.0
